timestamp,source,destination,delay,success,crdt_enabled,hop_count,throughput,packet_size,cumulative_packets,bytes_delivered,packet_id,stored_time,ttl,reason
1743017166.9259667,sta4,sta3,1.1350305080413818,True,True,1.0,0.1,309.0,1.0,309.0,,,,
1743017167.5589483,sta5,sta3,0.6292293071746826,True,True,1.0,0.2,311.0,2.0,620.0,,,,
1743017169.6460583,sta4,sta2,3.880946159362793,True,True,1.0,1.9,310.0,19.0,5314.0,,,,
1743017169.7241042,sta3,sta1,5.107636451721191,True,True,2.0,0.7,310.0,7.0,1982.0,,,,
1743017170.9039605,sta1,sta3,3.3715262413024902,True,True,1.0,0.3,311.0,3.0,931.0,,,,
1743017170.9482534,sta4,sta1,8.534834384918213,True,True,2.0,0.8,293.0,8.0,2275.0,,,,
1743017170.9534092,sta2,sta1,7.441009759902954,True,True,3.0,0.9,310.0,9.0,2585.0,,,,
1743017170.9595244,sta3,sta1,1.2509183883666992,True,True,1.0,1.0,311.0,10.0,2896.0,,,,
1743017170.9682143,sta1,sta5,8.581504583358765,True,True,4.0,0.1,310.0,1.0,310.0,,,,
1743017172.0138302,sta1,sta2,4.463569164276123,True,True,1.0,3.0,310.0,30.0,8413.0,,,,
1743017172.1151948,sta2,sta3,3.4379172325134277,True,True,1.0,0.4,311.0,4.0,1242.0,,,,
1743017172.1192052,sta4,sta3,7.494935512542725,True,True,2.0,0.5,293.0,5.0,1535.0,,,,
1743017172.1220083,sta4,sta3,7.493826627731323,True,True,2.0,0.6,294.0,6.0,1829.0,,,,
1743017172.123873,sta4,sta3,7.494015693664551,True,True,2.0,0.7,295.0,7.0,2124.0,,,,
1743017172.1267428,sta4,sta3,7.49580979347229,True,True,2.0,0.8,294.0,8.0,2418.0,,,,
1743017172.1761396,sta4,sta1,6.46504282951355,True,True,3.0,1.1,311.0,11.0,3207.0,,,,
1743017172.1803176,sta2,sta1,3.5644469261169434,True,True,3.0,1.2,311.0,12.0,3518.0,,,,
1743017172.6941757,sta2,sta3,8.097911834716797,True,True,1.0,0.9,294.0,9.0,2712.0,,,,
1743017172.696321,sta2,sta3,8.098674297332764,True,True,1.0,1.0,293.0,10.0,3005.0,,,,
1743017172.6993396,sta2,sta3,8.097078323364258,True,True,1.0,1.1,295.0,11.0,3300.0,,,,
1743017172.710893,sta2,sta3,8.106529235839844,True,True,1.0,1.2,294.0,12.0,3594.0,,,,
1743017172.7323864,sta2,sta4,7.005407094955444,True,True,1.0,0.1,295.0,1.0,295.0,,,,
1743017172.7345605,sta2,sta4,7.0074217319488525,True,True,1.0,0.2,295.0,2.0,590.0,,,,
1743017172.7390926,sta2,sta4,7.010134696960449,True,True,1.0,0.3,295.0,3.0,885.0,,,,
1743017172.7407155,sta2,sta4,7.011651039123535,True,True,1.0,0.4,294.0,4.0,1179.0,,,,
1743017172.7672718,sta2,sta5,5.94130277633667,True,True,1.0,0.2,294.0,2.0,604.0,,,,
1743017172.768144,sta2,sta5,5.94209623336792,True,True,1.0,0.3,295.0,3.0,899.0,,,,
1743017172.7700355,sta2,sta5,5.94361138343811,True,True,1.0,0.4,295.0,4.0,1194.0,,,,
1743017172.7723823,sta2,sta5,5.9457032680511475,True,True,1.0,0.5,294.0,5.0,1488.0,,,,
1743017173.7604053,sta5,sta1,6.940051794052124,True,True,1.0,1.2,311.0,13.0,3829.0,,,,
1743017173.7635872,sta5,sta1,11.339224100112915,True,True,1.0,1.3,294.0,14.0,4123.0,,,,
1743017173.7674608,sta5,sta1,11.342310905456543,True,True,1.0,1.4,293.0,15.0,4416.0,,,,
1743017173.78803,sta5,sta1,11.361757278442383,True,True,1.0,1.5,294.0,16.0,4710.0,,,,
1743017173.8710434,sta5,sta3,9.24104642868042,True,True,1.0,1.3,294.0,13.0,3888.0,,,,
1743017173.8725688,sta5,sta3,9.241538763046265,True,True,1.0,1.4,294.0,14.0,4182.0,,,,
1743017173.8805985,sta5,sta3,9.24918532371521,True,True,1.0,1.5,294.0,15.0,4476.0,,,,
1743017173.8825085,sta5,sta3,9.250880002975464,True,True,1.0,1.6,295.0,16.0,4771.0,,,,
1743017173.9309738,sta5,sta4,8.130867004394531,True,True,1.0,0.5,295.0,5.0,1474.0,,,,
1743017173.9341726,sta5,sta4,8.132642269134521,True,True,1.0,0.6,295.0,6.0,1769.0,,,,
1743017173.9402707,sta5,sta4,8.138146162033081,True,True,1.0,0.7,294.0,7.0,2063.0,,,,
1743017173.9471283,sta1,sta5,6.502163648605347,True,True,1.0,0.6,310.0,6.0,1798.0,,,,
1743017173.9482503,sta5,sta4,8.146555185317993,True,True,1.0,0.8,295.0,8.0,2358.0,,,,
1743017174.9606323,sta2,sta1,6.303314685821533,True,True,2.0,2.1,311.0,22.0,6414.0,,,,
1743017174.9758315,sta4,sta1,12.563894748687744,True,True,3.0,2.2,294.0,23.0,6708.0,,,,
1743017174.9798567,sta4,sta1,12.56745457649231,True,True,3.0,2.3,293.0,24.0,7001.0,,,,
1743017174.9937594,sta3,sta4,10.406482934951782,True,True,3.0,0.9,310.0,9.0,2668.0,,,,
1743017174.9991992,sta2,sta4,1.1482326984405518,True,True,1.0,1.0,311.0,10.0,2979.0,,,,
1743017176.0732079,sta4,sta3,11.440077066421509,True,True,3.0,1.7,294.0,17.0,5065.0,,,,
1743017177.2951624,sta1,sta3,12.688162803649902,True,True,2.0,1.7,295.0,18.0,5360.0,,,,
1743017177.8090978,sta5,sta2,10.940842866897583,True,True,2.0,3.8,310.0,56.0,15687.0,,,,
1743017177.9725807,sta2,sta4,4.2385101318359375,True,True,1.0,1.1,311.0,11.0,3290.0,,,,
1743017179.12909,sta3,sta4,13.353126525878906,True,True,1.0,1.2,295.0,12.0,3585.0,,,,
1743017179.1381276,sta3,sta5,12.234642028808594,True,True,1.0,0.7,294.0,7.0,2092.0,,,,
1743017180.168782,sta3,sta1,10.393371343612671,True,True,3.0,2.3,311.0,30.0,8704.0,,,,
1743017180.171376,sta3,sta1,17.772666692733765,True,True,5.0,2.4,294.0,31.0,8998.0,,,,
1743017180.172937,sta3,sta1,17.774102926254272,True,True,5.0,2.5,293.0,32.0,9291.0,,,,
1743017180.1755428,sta2,sta1,16.69214677810669,True,True,6.0,2.6,310.0,33.0,9601.0,,,,
1743017180.1774766,sta5,sta1,2.9105799198150635,True,True,1.0,2.7,311.0,34.0,9912.0,,,,
1743017180.1971087,sta2,sta4,14.467786073684692,True,True,3.0,1.3,295.0,13.0,3880.0,,,,
1743017180.2082243,sta2,sta4,6.303359270095825,True,True,2.0,1.4,311.0,14.0,4191.0,,,,
1743017180.2100809,sta5,sta4,14.407911777496338,True,True,3.0,1.5,295.0,15.0,4486.0,,,,
1743017180.2145774,sta2,sta4,16.741974115371704,True,True,4.0,1.6,310.0,16.0,4796.0,,,,
1743017180.2392318,sta1,sta5,12.730422019958496,True,True,3.0,0.8,311.0,8.0,2403.0,,,,
1743017180.2410731,sta4,sta5,9.334672451019287,True,True,2.0,0.9,310.0,9.0,2713.0,,,,
1743017180.2424777,sta1,sta5,17.862279891967773,True,True,6.0,1.0,310.0,10.0,3023.0,,,,
1743017181.2447698,sta1,sta3,16.637326955795288,True,True,3.0,1.6,295.0,19.0,5655.0,,,,
1743017181.386088,sta1,sta5,14.437116384506226,True,True,2.0,1.0,295.0,11.0,3318.0,,,,
1743017181.3889165,sta1,sta5,14.438886165618896,True,True,2.0,1.1,295.0,12.0,3613.0,,,,
1743017181.4020069,sta1,sta5,14.451189279556274,True,True,2.0,1.2,294.0,13.0,3907.0,,,,
1743017182.3819969,sta1,sta2,4.40471625328064,True,True,1.0,3.7,311.0,72.0,20180.0,,,,
1743017182.4690466,sta2,sta3,12.824070453643799,True,True,2.0,1.2,295.0,20.0,5950.0,,,,
1743017182.470886,sta2,sta3,12.82568883895874,True,True,2.0,1.3,294.0,21.0,6244.0,,,,
1743017182.471835,sta2,sta3,12.826456546783447,True,True,2.0,1.4,295.0,22.0,6539.0,,,,
1743017182.480525,sta2,sta3,12.834729194641113,True,True,2.0,1.5,295.0,23.0,6834.0,,,,
1743017182.523325,sta3,sta4,16.746535778045654,True,True,2.0,1.7,294.0,17.0,5090.0,,,,
1743017182.5262609,sta3,sta4,16.74764847755432,True,True,2.0,1.8,295.0,18.0,5385.0,,,,
1743017182.5330977,sta3,sta4,16.75281047821045,True,True,2.0,1.9,295.0,19.0,5680.0,,,,
